Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-02-04,Nightmare Alley,2021,https://boxd.it/2y6ydH,4,,"Del Toro chose monsters in human form this time. His unique aesthetics and the atmosphere the movie has make the drama work so much better. The score was perfect, the cast was great. I haven't seen the older film adaptation of this novel, but this is indeed a great film. It's quite an interesting way to handle a con-man story where elements of horror and moody visual storytelling are used as a part of the narrative. The film was gorgeous to look at.",,2022-02-04
2022-02-06,House of Gucci,2021,https://boxd.it/2yqXsx,3,,"In 2021, Ridley Scott released another film called The Last Duel, which was a story set in France and all the characters were French. But these French characters were played by American and British actors, and the movie was in English. So one of the things I appreciated about The Last Duel was all the characters not attempting to do a French accent. They were speaking English with American or British accents.

Now we take House of Gucci by the same director, where all the main characters are Italian, and they're speaking (or trying to speak) with an Italian accent. Now there's nothing wrong with actors doing an accent that isn't their own. Many great actors have excelled at that. Even Jodie Comer who was the lead in The Last Duel has masterfully juggled multiple accents in the series Killing Eve. But House of Gucci handled the Italian accents so badly at times and I was confused if they were being intentionally cartoonish or if they were playing to Italian stereotypes or if the actual people it's based on actually talked like this. Ridley Scott could've just gone the Last Duel route and let the American actors speak American English.

The movie is pretty dull. The true story behind it sounds way more interesting and sad to read than what we see in this film. This is something that required a treatment that the HBO series Succession has, where the humor and drama are well balanced and whenever tragedy hits, we do feel it deeply. Here, a character like Paolo Gucci, played by Jared Leto, whose story is pretty sad and tragic, seems like a cartoon character, accent and all. Leto's performance was great though, he did his best with the material he got. The great Al Pacino does get a scene to scream his heart out, yay! Lady Gaga was obviously the stand out in the cast. Such an amazing performance, and though her Italian accent too isn't all that perfect, her performance makes up for it. The movie could have been a bit more interesting to watch if the final stretch had more Lady Gaga scenes.

I'd suggest that reading about the Gucci family and this incident is better than watching this film.",,2022-02-06
2022-02-10,Mahaan,2022,https://boxd.it/2z8jmn,3.5,,"Mahaan is a considerable step up for Karthik Subbaraj after a dud like Jagame Thandhiram. The film was engaging enough for me to overlook the flaws. It's more of a genre film than a mass masala flick. All the characters are grey and the film focuses more on the characters, the philosophical side and the drama than being a formulaic star flick, though there's some confusion in the writing too. 

The action scenes were shot and choreographed great, but I don't understand why they did integrate some over the top action moves occasionally while almost 90% of the action was grounded. Great to see Vikram in a movie that I actually enjoyed after so long. Dhruv and Simha were great too. 

Then there's Santhosh Narayanan doing Santhosh Narayanan things with the music, which I absolutely love.",,2022-02-10
2022-02-13,The King's Man,2021,https://boxd.it/2zMMCz,2.5,,"I think they were more concerned about making all the historical connections and using all those historical figures and events more than, you know, making a King's Man movie. This film was marketed as the origin story of the Kingsman organisation. Instead what we get is a messy and incoherent historic fan fiction that occasionally has one or two of those cool stylish fight sequences that we saw in the other (and far more superior) Kingsman movies. 

In short, random history shit happens with a few minor callbacks to the Kingsman movies (emphasis on the minor) and then they decide to form the Kingsman organisation at the end. That isn't a good origin story, that's just lazy. This whole ""origin"" could have been explained with a 5 minute flashback in an actual Kingsman movie. It's that thin. 

Ralph Fiennes deserved more. Kingsman is the kind of franchise where even point-blank headshots are reversible. So do a future movie where Orlando Oxford teams up with the current Kingsman agents in the present day and redeem him please. 

Rasputin and his sequences were cool, I wished if that had more screen time.",,2022-02-13
2022-02-14,Freedom Fight,2022,https://boxd.it/2zPwlj,3,,Mixed bag.,,2022-02-13
2022-02-18,Scream,2022,https://boxd.it/2Az5U9,4,,"This is the first Scream movie that got released after Wes Craven's death and it's the first one not to be directed by him. But as I was watching the movie I couldn't tell the difference, it fit so perfectly with the style Wes Craven set in the first movie. They did justice to almost everything that made the Scream films good when they were really good. There's suspense, great kills, humor and a lot of great meta commentary. This is in the league of the first two movies, which were peak Scream. 

Scream was not just about being a slasher or a whodunit, the Parody elements and meta commentary were very much a part of the experience. This movie is constantly making fun of stuff in present day pop culture, modern horror movies by the likes of the stuff Ari Aster, Robert Eggers or Jordan Peele are mentioned, movies having social commentary are mentioned, modern day fandoms are mentioned. And the whole thing is like self aware about it being a sequelish reboot like the Star Wars sequel Trilogy or the Jurassic World movies. The parts in the movie where it made fun of itself or got meta were the most fun of the experience. 

There's indeed stuff that threw me off, like conveniently empty areas that shouldn't actually be as empty as they should be (Especially that fuckin hospital! Which hospital is empty like that, ever?!). While I liked the third act and how they resolved the entire thing. There's something in the very end that did make me cringe a bit. But as there's going to be future movies, I hope that angle gets addressed. But despite of these tiny issues I had with the movie, I still had such a great time watching it, and I got reminded why I had an extra special love for Scream that I don't have for any other slasher franchise.",,2022-02-18
2022-02-19,Uncharted,2022,https://boxd.it/2AHaYL,2.5,,"The Uncharted video games took a great deal of inspiration from Indiana Jones. They were aiming for a video game experience that felt like an Indiana Jones movie, and they delivered. The characters were interesting, the writing was great and the games actually gave a shit about all that instead of the plot and characters being filler in between the gameplay.

Though this movie tries to emulate the games and even borrow some set pieces right out of them, it couldn't capture the same magic. The writing is the main reason for that, though structurally the movie is similar to an Uncharted game, there's so much nuance that's lost. In the games, Nathan drake was paired with other non playable characters through most of the gameplay. These gameplay sections had constant banter and small talk between the characters that added so much personality to them. A movie does have limitations in doing small talk and banter the same way though, but still, the characters still felt like a shadow of their video game counterparts, though there were occasional moments where the banter between the characters did have the same effect the games had. 

A proper Uncharted film adaptation would've been on par with the Indiana Jones movies (the good ones), this one isn't that adaptation. Still, there's some cool humor and action that I enjoyed in this movie, Holland and Wahlberg were great though they weren't exactly trying to emulate their video game counterparts, and Chloé looked straight out of the video game.

If this movie does become successful and they go forward with their plans for sequels, I hope they adapt the source material better next time.",,2022-02-18
2022-02-19,Aaraattu,2022,https://boxd.it/2ARbWr,0.5,,"സെക്കന്റ് ഹാഫിലെ ഒരു ഡയലോഗ് കേട്ടപ്പോ വിചാരിച്ചത് പടത്തിൽ അതുവരെ ഉണ്ടായിരുന്നതുപോലെ പഴയ പടങ്ങളിലെ ഡയലോഗ് വെച്ചുള്ള സ്പൂഫ് ആണെന്നാണ്. പെട്ടെന്ന് ഒരു ഫ്ലാഷ്ബാക്ക് വന്നു. പിന്നങ്ങോട്ട് എന്തോ ഹൈ ഗ്രേഡ് സ്പൂഫ് ആയിരുന്നു. അവസാനം എഴുതിക്കാണിച്ചതൊക്കെ കൂടെ ആയപ്പോ സ്പൂഫ് പൂർണമായി. തൃപ്തിയായി. 

In 2020 we had Tik Tok: The Movie starring Mammootty, in 2022 we have Youtube Mashups: The Movie starring Mohanlal. What's next? Instagram stories: The Movie?",,2022-02-19
2022-02-22,The Texas Chain Saw Massacre,1974,https://boxd.it/2Bof3h,4,,"This is peak low budget horror. The atmosphere and the creepiness just builds up and reaches its high point at one of the creepiest dinner scenes I've ever seen. With cuts and camera angles and shots meant to make the viewer uncomfortable. There's a surprisingly low amount of gore and onscreen violence, and the horror is all thanks to the music and the filmmaking choices. It's not necessarily a slasher either. It's more like a survival horror film. Though this did become the beginning of a gory slasher franchise, this film itself is a different beast altogether.",,2022-02-22
2022-02-23,Texas Chainsaw Massacre,2022,https://boxd.it/2Bzy2p,2.5,,"This movie is also kinda a ""legacy sequel"", the kind of movie the new Scream made fun of, and it follows the far more superior Halloween (2018) a bit too closely. This is more like an inferior re-skinned (pun intended) version of Halloween (2018) than a follow up to Tobe Hooper's original horror classic. There are some stuff that I liked, some of the gory moments and setpieces were pretty cool, but they were surrounded by so much unoriginal dumb material. One of the things that drew me to this movie was that the people behind Don't Breath were a part of it. There are a few tense moments that did remind me of don't breath, and there's tense and scary stuff here and there, but they'll be immediately cut short by something dumb happening or characters being unreasonably stupid because movie has to movie. The music, cinematography and special effects were cool too. They just had to put some effort into the writing.

Elsie Fisher deserves to be in better films though. She's such a great actress.",,2022-02-23
